,Vdrive,X,Y,endTime,freq,sensitivity,startTime
9,1.5,0.001102613875,0.00250150266667,1542854294.84,30.0,0.05,1542854288.3
0,1.5,0.00146079795833,0.002500787375,1542854301.84,30.1,0.05,1542854294.85
1,1.5,0.00182160483333,0.002392386375,1542854308.81,30.2,0.05,1542854301.85
2,1.5,0.002147530625,0.002196803625,1542854316.31,30.3,0.05,1542854308.82
3,1.5,0.002465263,0.001982465375,1542854322.81,30.4,0.05,1542854316.32
4,1.5,0.00272664920833,0.00168300420833,1542854329.82,30.5,0.05,1542854322.82
5,1.5,0.002915158875,0.00133793304167,1542854336.87,30.6,0.05,1542854329.82
6,1.5,0.002892032375,0.000932220379167,1542854343.87,30.7,0.05,1542854336.87
7,1.5,0.00295656404167,0.0005412138875,1542854350.94,30.8,0.05,1542854343.88
8,1.5,0.00304295104167,0.000190020529167,1542854357.83,30.9,0.05,1542854350.95
9,1.5,0.00301489733333,-0.000157277679167,1542854365.27,31.0,0.05,1542854357.84
0,1.5,0.00287216416667,-0.000424784320833,1542854371.86,31.1,0.05,1542854365.28
1,1.5,0.00268487504,-0.000604175456,1542854379.29,31.2,0.05,1542854371.86
2,1.5,0.002535358125,-0.000750704345833,1542854385.85,31.3,0.05,1542854379.3
3,1.5,0.002306953,-0.000871185233333,1542854392.92,31.4,0.05,1542854385.86
4,1.5,0.00222366541667,-0.0009473201875,1542854399.88,31.5,0.05,1542854392.92
5,1.5,0.00200646625,-0.00097267315,1542854406.86,31.6,0.05,1542854399.88
6,1.5,0.0018418705,-0.000985947733333,1542854413.9,31.7,0.05,1542854406.86
7,1.5,0.00172893941667,-0.000994848670833,1542854420.85,31.8,0.05,1542854413.91
8,1.5,0.00157706679167,-0.00101638595833,1542854427.95,31.9,0.05,1542854420.86
9,1.5,0.00148773929167,-0.00102671729167,1542854434.85,32.0,0.05,1542854427.95
0,1.5,0.00135883445833,-0.00100192177917,1542854442.29,32.1,0.05,1542854434.85
1,1.5,0.00126378483333,-0.000956459575,1542854448.86,32.2,0.05,1542854442.29
2,1.5,0.00118566308333,-0.0009218094375,1542854455.86,32.3,0.05,1542854448.86
