,Vdrive,X,Y,endTime,freq,sensitivity,startTime
3,1.5,0.000334741545833,0.0002546329,1542860520.2,89.6,0.05,1542860512.87
4,1.5,0.000325920075,0.00024032695,1542860526.87,89.5,0.05,1542860520.21
5,1.5,0.000315032266667,0.000227134354167,1542860534.18,89.4,0.05,1542860526.87
6,1.5,0.000306449191667,0.000208617175,1542860540.84,89.3,0.05,1542860534.19
7,1.5,0.000297468729167,0.000184854758333,1542860548.34,89.2,0.05,1542860540.84
8,1.5,0.000290077841667,0.000160933475,1542860554.85,89.1,0.05,1542860548.35
9,1.5,0.000288567841667,0.000133912691667,1542860561.86,89.0,0.05,1542860554.86
0,1.5,0.000279269508333,9.40168604167e-05,1542860568.88,88.9,0.05,1542860561.89
1,1.5,0.000282527891667,6.485032e-05,1542860575.88,88.8,0.05,1542860568.88
2,1.5,0.000285112352,1.9607658e-05,1542860582.93,88.7,0.05,1542860575.88
3,1.5,0.0002950051125,-2.74977291667e-05,1542860589.86,88.6,0.05,1542860582.94
4,1.5,0.000315191220833,-7.24002416667e-05,1542860596.93,88.5,0.05,1542860589.86
5,1.5,0.000353735579167,-0.000126442229167,1542860603.87,88.4,0.05,1542860596.93
6,1.5,0.000411512354167,-0.000185252125,1542860611.3,88.3,0.05,1542860603.88
7,1.5,0.000501636416667,-0.0002373863625,1542860618.18,88.2,0.05,1542860611.31
8,1.5,0.0006468333375,-0.0002614675625,1542860625.35,88.1,0.05,1542860618.18
9,1.5,0.000805699566667,-0.000220220225,1542860631.82,88.0,0.05,1542860625.35
0,1.5,0.000969811041667,-9.36989683333e-05,1542860639.35,87.9,0.05,1542860631.83
1,1.5,0.00103768445833,7.05723683333e-05,1542860646.21,87.8,0.05,1542860639.35
2,1.5,0.00103283670833,0.000241121791667,1542860652.85,87.7,0.05,1542860646.21
3,1.5,0.000962737945833,0.000372570608333,1542860659.88,87.6,0.05,1542860652.85
4,1.5,0.000874999883333,0.000455778708333,1542860666.89,87.5,0.05,1542860659.88
5,1.5,0.000774625695833,0.000502907991667,1542860673.94,87.4,0.05,1542860666.9
6,1.5,0.000691894433333,0.000530405558333,1542860680.88,87.3,0.05,1542860673.94
7,1.5,0.00062005095,0.000533584495833,1542860688.35,87.2,0.05,1542860680.89
8,1.5,0.0005657710375,0.000522935145833,1542860694.83,87.1,0.05,1542860688.35
9,1.5,0.000507994266667,0.000498139616667,1542860702.3,87.0,0.05,1542860694.83
0,1.5,0.000479461629167,0.000486773925,1542860708.84,86.9,0.05,1542860702.31
1,1.5,0.0004482288,0.000475249583333,1542860716.34,86.8,0.05,1542860708.85
2,1.5,0.000428757958333,0.000464123345833,1542860722.83,86.7,0.05,1542860716.34
3,1.5,0.000411591825,0.000454586620833,1542860729.85,86.6,0.05,1542860722.84
4,1.5,0.0003938693375,0.0004390893875,1542860736.89,86.5,0.05,1542860729.86
5,1.5,0.000376862129167,0.000426373779167,1542860743.86,86.4,0.05,1542860736.9
6,1.5,0.000365373588,0.000419694868,1542860751.21,86.3,0.05,1542860743.87
7,1.5,0.000351669275,0.000398796670833,1542860757.88,86.2,0.05,1542860751.22
8,1.5,0.000341735183333,0.0003848889125,1542860765.3,86.1,0.05,1542860757.88
9,1.5,0.000336251525,0.0003739216625,1542860771.84,86.0,0.05,1542860765.3
0,1.5,0.0003299732,0.000367802220833,1542860779.29,85.9,0.05,1542860771.85
1,1.5,0.0003263969125,0.000363510741667,1542860785.86,85.8,0.05,1542860779.29
2,1.5,0.000322343779167,0.000359219204167,1542860793.32,85.7,0.05,1542860785.87
3,1.5,0.00031805225,0.000355642925,1542860799.85,85.6,0.05,1542860793.32
4,1.5,0.0003166217,0.00035087455,1542860806.86,85.5,0.05,1542860799.86
5,1.5,0.000311297045833,0.0003465035375,1542860813.88,85.4,0.05,1542860806.87
6,1.5,0.000307561825,0.000342768304167,1542860820.86,85.3,0.05,1542860813.89
7,1.5,0.000303349770833,0.00034125835,1542860827.93,85.2,0.05,1542860820.87
8,1.5,0.0003001708375,0.0003381588875,1542860834.87,85.1,0.05,1542860827.94
9,1.5,0.00029325675,0.000333390516667,1542860842.16,85.0,0.05,1542860834.88
0,1.5,0.0002899189,0.000332675266667,1542860848.88,84.9,0.05,1542860842.17
1,1.5,0.000281256325,0.0003267942625,1542860856.29,84.8,0.05,1542860848.89
2,1.5,0.000270289066667,0.000317336975,1542860862.83,84.7,0.05,1542860856.3
3,1.5,0.000249943975,0.0002917467625,1542860870.28,84.6,0.05,1542860862.84
