,Vdrive,X,Y,endTime,freq,sensitivity,startTime
1,1.5,-0.00034348355,-0.000164827666667,1543112259.23,390.8,0.05,1543112253.35
2,1.5,-0.0003433246,-0.000165701875,1543112265.01,390.7,0.05,1543112259.24
3,1.5,-0.000340860975,-0.000164350825,1543112270.8,390.6,0.05,1543112265.02
4,1.5,-0.0003392714875,-0.0001661787125,1543112276.56,390.5,0.05,1543112270.8
5,1.5,-0.000338476779167,-0.00016689395,1543112282.32,390.4,0.05,1543112276.57
6,1.5,-0.0003372847,-0.000167529716667,1543112288.11,390.3,0.05,1543112282.33
7,1.5,-0.00033585415,-0.00016959605,1543112293.89,390.2,0.05,1543112288.12
8,1.5,-0.00033617205,-0.000169755,1543112299.66,390.1,0.05,1543112293.89
9,1.5,-0.0003337879,-0.000170072883333,1543112305.47,390.0,0.05,1543112299.66
0,1.5,-0.000332595775,-0.00017070865,1543112311.26,389.9,0.05,1543112305.48
1,1.5,-0.000332118925,-0.000171185475,1543112317.04,389.8,0.05,1543112311.26
2,1.5,-0.000330132141667,-0.0001716623,1543112322.81,389.7,0.05,1543112317.04
3,1.5,-0.000329655279167,-0.0001716623,1543112328.63,389.6,0.05,1543112322.82
4,1.5,-0.0003287016,-0.000173172325,1543112334.44,389.5,0.05,1543112328.64
5,1.5,-0.000328940025,-0.000172377575,1543112340.22,389.4,0.05,1543112334.45
6,1.5,-0.0003252048,-0.000171582829167,1543112346.0,389.3,0.05,1543112340.23
7,1.5,-0.000323615333333,-0.0001716623,1543112351.79,389.2,0.05,1543112346.01
8,1.5,-0.00032329745,-0.0001716623,1543112357.66,389.1,0.05,1543112351.79
9,1.5,-0.000323456391667,-0.000173013375,1543112363.45,389.0,0.05,1543112357.66
0,1.5,-0.0003223438,-0.00017277495,1543112369.23,388.9,0.05,1543112363.46
1,1.5,-0.000322184833333,-0.0001742849375,1543112375.01,388.8,0.05,1543112369.24
2,1.5,-0.000320833775,-0.000175079645833,1543112380.77,388.7,0.05,1543112375.02
3,1.5,-0.000318688041667,-0.000176828075,1543112386.54,388.6,0.05,1543112380.77
4,1.5,-0.0003185291,-0.000175874375,1543112392.36,388.5,0.05,1543112386.55
5,1.5,-0.0003185291,-0.000176669125,1543112398.12,388.4,0.05,1543112392.37
6,1.5,-0.00031709855,-0.0001764307,1543112403.87,388.3,0.05,1543112398.12
7,1.5,-0.000318131725,-0.000176033325,1543112409.79,388.2,0.05,1543112403.88
8,1.5,-0.000314793870833,-0.000179530125,1543112415.65,388.1,0.05,1543112409.8
9,1.5,-0.000313045425,-0.00017945065,1543112421.63,388.0,0.05,1543112415.65
0,1.5,-0.0003147144,-0.0001792917,1543112427.46,387.9,0.05,1543112421.63
1,1.5,-0.000311535466667,-0.0001811991,1543112433.24,387.8,0.05,1543112427.47
2,1.5,-0.000312489116667,-0.0001799275,1543112439.02,387.7,0.05,1543112433.24
3,1.5,-0.000311773870833,-0.000180324875,1543112444.83,387.6,0.05,1543112439.03
4,1.5,-0.0003108997,-0.0001808812,1543112450.59,387.5,0.05,1543112444.83
5,1.5,-0.0003097075875,-0.000181278570833,1543112463.62,387.4,0.05,1543112450.6
6,1.5,-0.0003089923,-0.00018215275,1543112469.42,387.3,0.05,1543112463.63
7,1.5,-0.000308118120833,-0.0001811991,1543112475.19,387.2,0.05,1543112469.43
8,1.5,-0.000305892875,-0.0001823911625,1543112480.97,387.1,0.05,1543112475.19
9,1.5,-0.000305892875,-0.000183424283333,1543112486.86,387.0,0.05,1543112480.98
0,1.5,-0.0003051776,-0.0001838216375,1543112492.83,386.9,0.05,1543112486.87
1,1.5,-0.0003051776,-0.000183901108333,1543112498.6,386.8,0.05,1543112492.84
2,1.5,-0.000304144479167,-0.0001838216375,1543112504.37,386.7,0.05,1543112498.61
3,1.5,-0.0003016808,-0.00018406005,1543112510.18,386.6,0.05,1543112504.37
4,1.5,-0.0003023166,-0.000183583225,1543112515.95,386.5,0.05,1543112510.18
5,1.5,-0.000301203958333,-0.000183901108333,1543112521.78,386.4,0.05,1543112515.95
6,1.5,-0.000297707154167,-0.000184377933333,1543112527.56,386.3,0.05,1543112521.78
7,1.5,-0.0002994556,-0.000184854758333,1543112533.39,386.2,0.05,1543112527.56
8,1.5,-0.0002975482,-0.000184616345833,1543112539.23,386.1,0.05,1543112533.39
9,1.5,-0.000297150845833,-0.000184536875,1543112545.02,386.0,0.05,1543112539.24
0,1.5,-0.000297230316667,-0.000183742166667,1543112550.78,385.9,0.05,1543112545.03
